"Gene.name"	"Mouse.gene.name"
"UGGT1"	"Uggt1"
"C16orf72"	"1810013L24Rik"
"TMEM109"	"Tmem109"
"PPIL1"	"Ppil1"
"GGH"	"Ggh"
"GSKIP"	"Gskip"
"HADH"	"Hadh"
"TMEM131"	"Tmem131"
"FRG1"	"Frg1"
"LEMD3"	"Lemd3"
"ITSN1"	"Itsn1"
"FAM83G"	"Fam83g"
"MSRA"	"Msra"
"DPP8"	"Dpp8"
"PLEKHM2"	"Plekhm2"
"LEPROT"	"Leprot"
"TKT"	"Tkt"
"ADPRM"	"Adprm"
"GNG10"	"Gng10"
"ANKRD33B"	"Ankrd33b"
"DHRS7"	"Dhrs7"
"CCDC58"	"Ccdc58"
"SECISBP2L"	"Secisbp2l"
"DAPL1"	"Dapl1"
"PPP6R3"	"Ppp6r3"
"FNIP2"	"Fnip2"
"SCOC"	"Scoc"
"CLCN4"	"Clcn4"
"ERLIN1"	"Erlin1"
"BNIP3"	"Bnip3"
"RFXAP"	"Rfxap"
"PRPF3"	"Prpf3"
"EWSR1"	"Ewsr1"
"MRPL48"	"Mrpl48"
"HS6ST1"	"Hs6st1"
"CABLES2"	"Cables2"
"BRMS1"	"Brms1"
"BID"	"Bid"
"ZSWIM7"	"Zswim7"
"UQCC3"	"Uqcc3"
"LTF"	"Ltf"
"GOLGA6B"	"Golga2"
"PPP1R21"	"Ppp1r21"
"NPDC1"	"Npdc1"
"RETNLB"	"Retnla"
"RETNLB"	"Retnlg"
"TTC4"	"Ttc4"
"DYNC1LI2"	"Dync1li2"
"ACOD1"	"Acod1"
"HIGD2B"	"Higd2a"
"H4C11"	"Hist1h4n"
"PDLIM2"	"Pdlim2"
"RAB5B"	"Rab5b"
"DNAJC13"	"Dnajc13"
"MED31"	"Med31"
"PHACTR4"	"Phactr4"
"IER3"	"Ier3"
"CFP"	"Cfp"
"C2orf42"	"C87436"
"NGLY1"	"Ngly1"
"CNPY3"	"Cnpy3"
"PAK1"	"Pak1"
"TIMP1"	"Timp1"
"EMG1"	"Emg1"
"USP38"	"Usp38"
"ZNF34"	"Zfp944"
"ZNF34"	"Zfp990"
"SLCO4A1"	"Slco4a1"
"TMEM107"	"Tmem107"
"CASK"	"Cask"
"FARSB"	"Farsb"
"TRAF2"	"Traf2"
"C1S"	"C1s1"
"ZNRF1"	"Znrf1"
"TDP2"	"Tdp2"
"ERBIN"	"Erbin"
"SNRPB"	"Snrpb"
"RAB3GAP1"	"Rab3gap1"
"UBE2C"	"Ube2c"
"KLF13"	"Klf13"
"C1orf43"	"4933434E20Rik"
"MRPL9"	"Mrpl9"
"VPS54"	"Vps54"
"ADI1"	"Adi1"
"CLK3"	"Clk3"
"ARMC8"	"Armc8"
"CDIPT"	"Cdipt"
"RGL2"	"Rgl2"
"MXI1"	"Mxi1"
"TNFRSF12A"	"Tnfrsf12a"
"LPP"	"Lpp"
"TM2D1"	"Tm2d1"
"HBE1"	"Hbb-y"
"PFDN6"	"Pfdn6"
"WDR46"	"Wdr46"
"ARC"	"Arc"
"TNFRSF18"	"Tnfrsf18"
"DONSON"	"Donson"
"KIAA0586"	"2700049A03Rik"
"SRSF6"	"Srsf6"
"FCHO2"	"Fcho2"
"CYCS"	"Gm10053"
"CYCS"	"Cycs"
"AC104389.5"	"Trim12c"
"SON"	"Son"
"TRIM5"	"Trim12c"
"MRFAP1"	"Mrfap1"
"ACSL3"	"Acsl3"
"PPM1A"	"Ppm1a"
"KCTD10"	"Kctd10"
"KPNB1"	"Kpnb1"
"AC093323.1"	"Mrfap1"
"CBWD5"	"Cbwd1"
"ATG7"	"Atg7"
"ATP9B"	"Atp9b"
"SPTLC2"	"Sptlc2"
"MAGT1"	"Magt1"
"GNG2"	"Gng2"
"ACOT13"	"Acot13"
"ABHD11"	"Abhd11"
"ENTPD2"	"Entpd2"
"INPP5A"	"Inpp5a"
"ALKBH1"	"Alkbh1"
"TIMM9"	"Timm9"
"THBS1"	"Thbs1"
"NDRG1"	"Ndrg1"
"ABCF2"	"Abcf2"
"C1QTNF12"	"C1qtnf12"
"GRAMD4"	"Gramd4"
"VGLL4"	"Vgll4"
"TRRAP"	"Trrap"
"UBN2"	"Ubn2"
"MSH6"	"Msh6"
"SUSD3"	"Susd3"
"NCAPD3"	"Ncapd3"
"TBC1D9"	"Tbc1d9"
"MPZ"	"Mpz"
"ACOT8"	"Acot8"
"MYO1G"	"Myo1g"
"SF3B2"	"Sf3b2"
"GKAP1"	"Gkap1"
"FBXO11"	"Fbxo11"
"EAPP"	"Eapp"
"FBXL3"	"Fbxl3"
"TM9SF3"	"Tm9sf3"
"IPO8"	"Ipo8"
"HSPB1"	"Hspb1"
"PGK1"	"Pgk1"
"GOLGA8G"	"Golga2"
"ATP1B3"	"Atp1b3"
"SURF2"	"Surf2"
"SURF1"	"Surf1"
"SNX6"	"Snx6"
"CHKB"	"Chkb"
"GMNN"	"Gmnn"
"C11orf71"	"Gm5617"
"SLC25A28"	"Slc25a28"
"HCFC1R1"	"Hcfc1r1"
"PDPN"	"Pdpn"
"BTF3"	"Btf3"
"PRCC"	"Prcc"
"SCYL3"	"Scyl3"
"SELL"	"Sell"
"THOC6"	"Thoc6"
"SRA1"	"Sra1"
"CHKB-CPT1B"	"Chkb"
"CARD19"	"Card19"
"UAP1L1"	"Uap1l1"
"MT1X"	"Mt2"
"GID4"	"Gid4"
"CCDC34"	"Ccdc34"
"AC068580.4"	"Ctsd"
"MRFAP1L1"	"Mrfap1"
"CTSD"	"Ctsd"
"KAT6A"	"Kat6a"
"PINX1"	"Pinx1"
"MSMO1"	"Msmo1"
"CMSS1"	"Cmss1"
"MRGBP"	"Mrgbp"
"RFX7"	"Rfx7"
"ZNF330"	"Zfp330"
"GATM"	"Gatm"
"WDFY1"	"Wdfy1"
"C19orf38"	"AB124611"
"TEX9"	"Tex9"
"MTCH1"	"Mtch1"
"ARG2"	"Arg2"
"NADK"	"Nadk"
"EMP2"	"Emp2"
"CDK9"	"Cdk9"
"UXT"	"Uxt"
"POSTN"	"Postn"
"LGALSL"	"Lgalsl"
"C11orf1"	"1110032A03Rik"
"CNTLN"	"Cntln"
"LYSMD3"	"Lysmd3"
"SDF2"	"Sdf2"
"ADAMTS5"	"Adamts5"
"CYRIA"	"Fam49a"
"ZKSCAN4"	"Zkscan3"
"C4A"	"C4b"
"COL11A1"	"Col11a1"
"RBM47"	"Rbm47"
"SNF8"	"Snf8"
"CSE1L"	"Cse1l"
"AC011005.1"	"Map2k2"
"PTPRB"	"Ptprb"
"NDC80"	"Ndc80"
"VPS72"	"Vps72"
"HERC1"	"Herc1"
"SURF6"	"Surf6"
"AC011195.3"	"Igbp1"
"PQBP1"	"Pqbp1"
"STK19"	"Stk19"
"GNG11"	"Gng11"
"SIK2"	"Sik2"
"C3orf38"	"4930453N24Rik"
"PSMG3"	"Psmg3"
"MCUR1"	"Mcur1"
"CLNS1A"	"Clns1a"
"USP45"	"Usp45"
"ZSCAN26"	"Zscan26"
"DXO"	"Dxo"
"ZNHIT2"	"Znhit2"
"TNPO2"	"Tnpo2"
"ZFPL1"	"Zfpl1"
"POLR3C"	"Polr3c"
"CHERP"	"Cherp"
"TBC1D23"	"Tbc1d23"
"DCTPP1"	"Dctpp1"
"HACD3"	"Hacd3"
"CCL5"	"Ccl5"
"CPE"	"Cpe"
"ICAM2"	"Icam2"
"WSB2"	"Wsb2"
"U2AF1"	"U2af1"
"SUPT6H"	"Supt6"
"F10"	"F10"
"RDH12"	"Rdh12"
"NUDCD2"	"Nudcd2"
"VPS36"	"Vps36"
"AC012254.2"	"Ier3ip1"
"IER3IP1"	"Ier3ip1"
"DSP"	"Dsp"
"PPP2R5D"	"Ppp2r5d"
"MAML1"	"Maml1"
"NOP10"	"Nop10"
"NIBAN3"	"Fam129c"
"CD93"	"Cd93"
"INPP1"	"Inpp1"
"BROX"	"Brox"
"TRAPPC8"	"Trappc8"
"MFAP4"	"Mfap4"
"ZBP1"	"Zbp1"
"VPS13B"	"Vps13b"
"ARMC1"	"Armc1"
"SMIM3"	"Smim3"
"IRGM"	"Igtp"
"IRGM"	"Irgm1"
"C15orf48"	"AA467197"
"RAMP1"	"Ramp1"
"GOLPH3"	"Golph3"
"ETHE1"	"Ethe1"
"DNAJB2"	"Dnajb2"
"OXR1"	"Oxr1"
"CENPF"	"Cenpf"
"XAF1"	"Xaf1"
"GPX3"	"Gpx3"
"ABCB7"	"Abcb7"
"ZBTB43"	"Zbtb43"
"MAP7D1"	"Map7d1"
"ANKRA2"	"Ankra2"
"UTP15"	"Utp15"
"EIF4EBP1"	"Eif4ebp1"
"OAS1"	"Oas1a"
"CCDC28B"	"Ccdc28b"
"BMP2K"	"Bmp2k"
"AK3"	"Ak3"
"TRIO"	"Trio"
"CUL3"	"Cul3"
"PDAP1"	"Pdap1"
"MCTS1"	"Mcts1"
"HSD11B1"	"Hsd11b1"
"G0S2"	"G0s2"
"NCEH1"	"Nceh1"
"TUBA1B"	"Tuba1b"
"TXNDC5"	"Txndc5"
"PDCD5"	"Pdcd5"
"TUBA1A"	"Tuba1a"
"CRYAB"	"Cryab"
"SF3B3"	"Sf3b3"
"TMEM205"	"Tmem205"
"MCOLN2"	"Mcoln2"
"CPXM1"	"Cpxm1"
"ABCB10"	"Abcb10"
"HSDL2"	"Hsdl2"
"ITPKB"	"Itpkb"
"LONP2"	"Lonp2"
"APOD"	"Apod"
"PFKFB3"	"Pfkfb3"
"ABCC5"	"Abcc5"
"LY96"	"Ly96"
"CAMK1"	"Camk1"
"GORASP2"	"Gorasp2"
"UBXN1"	"Ubxn1"
"GNGT2"	"Gngt2"
"NUDT19"	"Nudt19"
"RNF125"	"Rnf125"
"DOK3"	"Dok3"
"RNF138"	"Rnf138"
"SLC16A10"	"Slc16a10"
"ZNF292"	"Zfp292"
"BLOC1S6"	"Bloc1s6"
"NR2C2AP"	"Nr2c2ap"
"WDR48"	"Wdr48"
"GNB1"	"Gnb1"
"UNK"	"Unk"
"MTFR1"	"Mtfr1"
"TRAF3IP3"	"Traf3ip3"
"PDHB"	"Pdhb"
"TEX2"	"Tex2"
"PDE7A"	"Pde7a"
"TAPBP"	"Tapbp"
"ALKBH5"	"Alkbh5"
"EIF4EBP2"	"Eif4ebp2"
"C1orf74"	"A130010J15Rik"
"ACSL4"	"Acsl4"
"FH"	"Fh1"
"CKAP2"	"Ckap2"
"ITM2A"	"Itm2a"
"SNAP23"	"Snap23"
"ITK"	"Itk"
"CAND2"	"Cand2"
"SIK1"	"Sik1"
"ZNF180"	"Zfp180"
"HAVCR2"	"Havcr2"
"DLC1"	"Dlc1"
"IL2RB"	"Il2rb"
"REV3L"	"Rev3l"
"FGD2"	"Fgd2"
"RBM8A"	"Rbm8a"
"TRIM39"	"Trim39"
"RCL1"	"Rcl1"
"RRAGA"	"Rraga"
"ZNF652"	"Zfp652"
"DAG1"	"Dag1"
"TAF5L"	"Taf5l"
"EMILIN2"	"Emilin2"
"ADGRG1"	"Adgrg1"
"SCD"	"Scd2"
"MIDEAS"	"Elmsan1"
"PERP"	"Perp"
"IGF1"	"Igf1"
"LTN1"	"Ltn1"
"TMEM219"	"Tmem219"
"PVR"	"Pvr"
"TCF20"	"Tcf20"
"THYN1"	"Thyn1"
"PARD6A"	"Pard6a"
"TMEM11"	"Tmem11"
"OLR1"	"Olr1"
"POLG2"	"Polg2"
"ZNF688"	"Zfp688"
"STXBP5"	"Stxbp5"
"HNRNPUL2"	"Hnrnpul2"
"CASD1"	"Casd1"
"MED27"	"Med27"
"HNRNPUL2-BSCL2"	"Hnrnpul2"
"HDAC3"	"Hdac3"
"CLSTN1"	"Clstn1"
"ERICH1"	"Erich1"
"DTX1"	"Dtx1"
"SGCE"	"Sgce"
"SLC35A4"	"Slc35a4"
"BRWD3"	"Brwd3"
"TOMM40"	"Tomm40"
"DDX41"	"Ddx41"
"GOLGA8M"	"Golga2"
"TNNI2"	"Tnni2"
"TNPO1"	"Tnpo1"
"APOE"	"Apoe"
"MRPL38"	"Mrpl38"
"ADA"	"Ada"
"ZNRF2"	"Znrf2"
"SUDS3"	"Suds3"
"CLPTM1L"	"Clptm1l"
"PIM1"	"Pim1"
"BRMS1L"	"Brms1l"
"DPYSL2"	"Dpysl2"
"TK1"	"Tk1"
"ZNF593"	"Zfp593"
"LPIN2"	"Lpin2"
"CDK5RAP3"	"Cdk5rap3"
"PHF23"	"Phf23"
"H1-0"	"H1f0"
"PRDX2"	"Prdx2"
"MAP1S"	"Map1s"
"FXYD6-FXYD2"	"Fxyd2"
"SGPL1"	"Sgpl1"
"RNASEH2A"	"Rnaseh2a"
"FXYD2"	"Fxyd2"
"ALYREF"	"Alyref2"
"ALYREF"	"Alyref"
"IDH3B"	"Idh3b"
"RRP36"	"Rrp36"
"PEPD"	"Pepd"
"PSPC1"	"Pspc1"
"SEC63"	"Sec63"
"GORAB"	"Gorab"
"CLEC4E"	"Clec4e"
"SMARCB1"	"Smarcb1"
"CUL4A"	"Cul4a"
"UFM1"	"Ufm1"
"PROS1"	"Pros1"
"SASH1"	"Sash1"
"OSTM1"	"Ostm1"
"RNPC3"	"Rnpc3"
"ORC4"	"Orc4"
"SUGP1"	"Sugp1"
"MRPL19"	"Mrpl19"
"LGR4"	"Lgr4"
"IRAK3"	"Irak3"
"ATXN1"	"Atxn1"
"GEMIN7"	"Gemin7"
"RANBP10"	"Ranbp10"
"CCL15-CCL14"	"Ccl9"
"CCL15-CCL14"	"Ccl6"
"SETX"	"Setx"
"CCL15"	"Ccl9"
"CCL15"	"Ccl6"
"ZNF296"	"Zfp296"
"HSPG2"	"Hspg2"
"TXNIP"	"Txnip"
"MRPL11"	"Mrpl11"
"SNX8"	"Snx8"
"MCM5"	"Mcm5"
"CCDC28A"	"Ccdc28a"
"EIF3B"	"Eif3b"
"FAM76B"	"Fam76b"
"GABARAPL1"	"Gabarapl1"
"HSPB8"	"Hspb8"
"ANTXR2"	"Antxr2"
"RBL2"	"Rbl2"
"MFF"	"Mff"
"CTDNEP1"	"Ctdnep1"
"ANGPTL2"	"Angptl2"
"BOD1L1"	"Bod1l"
"FAR1"	"Far1"
"TRMT6"	"Trmt6"
"MAFG"	"Mafg"
"AKTIP"	"Aktip"
"CYRIB"	"Fam49b"
"ANXA8L1"	"Anxa8"
"INPP5D"	"Inpp5d"
"LIN7C"	"Lin7c"
"GOLGA4"	"Golga4"
"CD3EAP"	"Cd3eap"
"PRRX1"	"Prrx1"
"GTPBP6"	"Gtpbp6"
"CAPN2"	"Capn2"
"COMT"	"Comt"
"HIPK3"	"Hipk3"
"MNAT1"	"Mnat1"
"MCM6"	"Mcm6"
"IK"	"Ik"
"PGS1"	"Pgs1"
"CUTA"	"Cuta"
"TRIM27"	"Trim27"
"ZNF445"	"Zfp445"
"STRAP"	"Strap"
"TTC32"	"Ttc32"
"NDUFA13"	"Ndufa13"
"CRLS1"	"Crls1"
"BIN1"	"Bin1"
"PRKAR2A"	"Prkar2a"
"FAM193B"	"Fam193b"
"SIRT1"	"Sirt1"
"PHF1"	"Phf1"
"KIAA0355"	"4931406P16Rik"
"CTSA"	"Ctsa"
"TPST1"	"Tpst1"
"B4GALT7"	"B4galt7"
"AL159163.1"	"Rnaset2a"
"SRP68"	"Srp68"
"TMEM127"	"Tmem127"
"GOLGA8K"	"Golga2"
"VASP"	"Vasp"
"MRGPRX3"	"Mrgpra2b"
"ITGB1BP1"	"Itgb1bp1"
"OPA3"	"Opa3"
"ARL17B"	"Arf2"
"GRB10"	"Grb10"
"USP24"	"Usp24"
"CADM1"	"Cadm1"
"MRGPRX4"	"Mrgpra2b"
"RNASET2"	"Rnaset2a"
"FSCN1"	"Fscn1"
"DYNLT3"	"Dynlt3"
"PLGRKT"	"Plgrkt"
"CCM2"	"Ccm2"
"OR8J1"	"Olfr1062"
"DLAT"	"Dlat"
"DHRS4L2"	"Dhrs4"
"UTP18"	"Utp18"
"CCL23"	"Ccl9"
"CCL23"	"Ccl6"
"ARL13B"	"Arl13b"
"CIAO1"	"Ciao1"
"DNPEP"	"Dnpep"
"CCL18"	"Ccl3"
"SYCE2"	"Syce2"
"PPP2R3B"	"Ppp2r3d"
"POLR2I"	"Polr2i"
"STX16"	"Stx16"
"PDGFRA"	"Pdgfra"
"PPFIBP2"	"Ppfibp2"
"RGS19"	"Rgs19"
"DCAF17"	"Dcaf17"
"DHRS4"	"Dhrs4"
"GOLGA8O"	"Golga2"
"CD300A"	"Cd300a"
"DDX55"	"Ddx55"
"ASB6"	"Asb6"
"MRPL2"	"Mrpl2"
"NTMT1"	"Ntmt1"
"FUNDC1"	"Fundc1"
"ARHGAP21"	"Arhgap21"
"EIF2B1"	"Eif2b1"
"CD300C"	"Cd300c2"
"LEPROTL1"	"Leprotl1"
"LTBP1"	"Ltbp1"
"DDX27"	"Ddx27"
"STX16-NPEPL1"	"Stx16"
"ARAP3"	"Arap3"
"FGFR1OP"	"Fgfr1op"
"FAS"	"Fas"
"SLC31A2"	"Slc31a2"
"FKBP15"	"Fkbp15"
"MATR3"	"Snhg4"
"FBXL14"	"Fbxl14"
"GOLGA8N"	"Golga2"
"GYPA"	"Gypa"
"CRLF2"	"Crlf2"
"SESN1"	"Sesn1"
"KLRK1"	"Klrk1"
"MYO10"	"Myo10"
"CD274"	"Cd274"
"CHST12"	"Chst12"
"ADIPOR2"	"Adipor2"
"ENTPD5"	"Entpd5"
"SLC25A20"	"Slc25a20"
"SPOP"	"Spop"
"ZC3HC1"	"Zc3hc1"
"TUBGCP2"	"Tubgcp2"
"AK2"	"Ak2"
"CD300LD"	"Cd300a"
"MFAP5"	"Mfap5"
"CD300LF"	"Cd300lf"
"BCL2"	"Bcl2"
"ZNF511"	"Zfp511"
"UBE2D3"	"Ube2d3"
"COPZ2"	"Copz2"
"SLC30A9"	"Slc30a9"
"LYPLA1"	"Lypla1"
"STAMBPL1"	"Stambpl1"
"GYPE"	"Gypa"
"TOR1B"	"Tor1b"
"C4B"	"C4b"
"UBE2F-SCLY"	"Ube2f"
"ABRACL"	"Abracl"
"UBE2F"	"Ube2f"
"BCL10"	"Bcl10"
"GYPB"	"Gypa"
"RRS1"	"Rrs1"
"PHGDH"	"Phgdh"
"HECA"	"Heca"
"CAMK2N1"	"Camk2n1"
"RNH1"	"Rnh1"
"TCN2"	"Tcn2"
"PDCD4"	"Pdcd4"
"MDFIC"	"Mdfic"
"FXR1"	"Fxr1"
"RNF38"	"Rnf38"
"ATP13A1"	"Atp13a1"
"PRPF4"	"Prpf4"
"AL049629.2"	"Cd59a"
"PCYOX1"	"Pcyox1"
"CD59"	"Cd59a"
"ARL17A"	"Arf2"
"ZNF410"	"Zfp410"
"IRF2BP1"	"Irf2bp1"
"NOL9"	"Nol9"
"GSDMD"	"Gsdmd"
"FBXO28"	"Fbxo28"
"CPEB2"	"Cpeb2"
"TBL3"	"Tbl3"
"GPX7"	"Gpx7"
"SPTA1"	"Spta1"
"TPRG1L"	"Tprgl"
"DEGS1"	"Degs1"
"SETD3"	"Setd3"
"AKIRIN2"	"Akirin2"
"NVL"	"Nvl"
"CTNNBIP1"	"Ctnnbip1"
"PSMB5"	"Psmb5"
"TIMP2"	"Timp2"
"IP6K2"	"Ip6k2"
"NUP210"	"Nup210"
"USO1"	"Uso1"
"KDSR"	"Kdsr"
"WAC"	"Wac"
"CCL4"	"Ccl4"
"IL7R"	"Il7r"
"EPHA2"	"Epha2"
"CCL3"	"Ccl3"
"DNAJB14"	"Dnajb14"
"AKT1"	"Akt1"
"PRKCA"	"Prkca"
"HGSNAT"	"Hgsnat"
"GFPT2"	"Gfpt2"
"GJA1"	"Gja1"
"VAPB"	"Vapb"
"LDB1"	"Ldb1"
"RABGEF1"	"Rabgef1"
"ITIH5"	"Itih5"
"AQP1"	"Aqp1"
"MRPL49"	"Mrpl49"
"CHCHD3"	"Chchd3"
"AQP3"	"Aqp3"
"COG2"	"Cog2"
"AC004691.2"	"Aqp1"
"CYTH3"	"Cyth3"
"TP53I11"	"Trp53i11"
"MARCKSL1"	"Marcksl1"
"AGPS"	"Agps"
"TBRG4"	"Tbrg4"
"COA7"	"Coa7"
"DYNLT1"	"Dynlt1a"
"TWF2"	"Twf2"
"KCTD5"	"Kctd5"
"WASHC1"	"Washc1"
"NF2"	"Nf2"
"COPB1"	"Copb1"
"FAM220A"	"Fam220a"
"AC009412.1"	"Fam220a"
"EXOC4"	"Exoc4"
"STRN4"	"Strn4"
"EVA1B"	"Eva1b"
"CLASP2"	"Clasp2"
"PRPSAP1"	"Prpsap1"
"ACTN1"	"Actn1"
"CINP"	"Cinp"
"MRPL15"	"Mrpl15"
"YPEL5"	"Ypel5"
"FAM136A"	"Fam136a"
"HRAS"	"Hras"
"SDC1"	"Sdc1"
"NDUFB6"	"Ndufb6"
"RNF14"	"Rnf14"
"ST3GAL1"	"St3gal1"
"SDAD1"	"Sdad1"
"CCL3L1"	"Ccl3"
"CSTB"	"Cstb"
"AC020907.6"	"Fxyd3"
"TTBK2"	"Ttbk2"
"CBX1"	"Cbx1"
"SLC1A5"	"Slc1a5"
"ESYT1"	"Esyt1"
"ZNF429"	"Zfp87"
"ZHX2"	"Zhx2"
"TRAF5"	"Traf5"
"FXYD3"	"Fxyd3"
"BHLHE41"	"Bhlhe41"
"FBXO42"	"Fbxo42"
"NAAA"	"Naaa"
"COMMD1"	"Commd1"
"CAV2"	"Cav2"
"SLC35E4"	"Slc35e4"
"ELOB"	"Elob"
"GSTT2B"	"Gstt2"
"GSTT2"	"Gstt2"
"KIAA1143"	"1110059G10Rik"
"ZC3H11B"	"Zc3h11a"
"AC253536.7"	"Ddt"
"DDT"	"Ddt"
"ATP8A1"	"Atp8a1"
"DDTL"	"Ddt"
"MAML2"	"Maml2"
"RAC1"	"Rac1"
"RIN3"	"Rin3"
"RBP7"	"Rbp7"
"FARSA"	"Farsa"
"RHBDF2"	"Rhbdf2"
"PLAT"	"Plat"
"SLC43A3"	"Slc43a3"
"FAM98A"	"Fam98a"
"SLC35B1"	"Slc35b1"
"HAUS8"	"Haus8"
"XPA"	"Xpa"
"BRAF"	"Braf"
"ZC3H4"	"Zc3h4"
"WTAP"	"Wtap"
"HM13"	"H13"
"CCNK"	"Ccnk"
"NXF1"	"Nxf1"
"ZBTB20"	"Zbtb20"
"FASN"	"Fasn"
"C9orf40"	"D030056L22Rik"
"TRIM37"	"Trim37"
"LHFPL6"	"Lhfp"
"ENY2"	"Eny2"
"SOCS4"	"Socs4"
"SERPINB5"	"Serpinb5"
"ZFP62"	"Zfp62"
"XAB2"	"Xab2"
"PUF60"	"Puf60"
"EIF4H"	"Eif4h"
"MKKS"	"Mkks"
"RNF121"	"Rnf121"
"CISH"	"Cish"
"GM2A"	"Gm2a"
"MAPKAPK3"	"Mapkapk3"
"SKAP1"	"Skap1"
"E2F5"	"E2f5"
"TMEM248"	"Tmem248"
"DCAF11"	"Dcaf11"
"TOMM34"	"Tomm34"
"CBWD3"	"Cbwd1"
"CYGB"	"Cygb"
"SNRNP40"	"Snrnp40"
"C1QC"	"C1qc"
"SH2D1A"	"Sh2d1a"
"CSNK1D"	"Csnk1d"
"STXBP2"	"Stxbp2"
"KIF15"	"Kif15"
"CALR"	"Calr"
"CCL4L2"	"Ccl4"
"WBP1L"	"Wbp1l"
"SMOC2"	"Smoc2"
"TTF1"	"Ttf1"
"JAG1"	"Jag1"
"PLA2G12A"	"Pla2g12a"
"PUS7"	"Pus7"
"EHD2"	"Ehd2"
"TFG"	"Tfg"
"HEMGN"	"Hemgn"
"TBPL1"	"Tbpl1"
"NID1"	"Nid1"
"SLC16A3"	"Slc16a3"
"PCK2"	"Pck2"
"TRMT112"	"Trmt112"
"SLC30A1"	"Slc30a1"
"PANK3"	"Pank3"
"POP7"	"Pop7"
"THBS2"	"Thbs2"
"PDE6D"	"Pde6d"
"TAF12"	"Taf12"
"JMJD6"	"Jmjd6"
"C1QB"	"C1qb"
"TSFM"	"Tsfm"
"AL355916.3"	"Prkch"
"PRKCH"	"Prkch"
"CRIM1"	"Crim1"
"MFSD11"	"Mfsd11"
"NFIX"	"Nfix"
"RMND5B"	"Rmnd5b"
"NMT2"	"Nmt2"
"NDFIP1"	"Ndfip1"
"SLC48A1"	"Slc48a1"
"NBN"	"Nbn"
"MYL6"	"Myl6"
"ZNF266"	"Zfp266"
"ZNF598"	"Zfp598"
"CNIH4"	"Cnih4"
"CD7"	"Cd7"
"FBRS"	"Fbrs"
"IRX3"	"Irx3"
"RCOR1"	"Rcor1"
"RAP1GDS1"	"Rap1gds1"
"CYB5R3"	"Cyb5r3"
"ALAD"	"Alad"
"METTL23"	"Mettl23"
"NT5C2"	"Nt5c2"
"MRPL18"	"Mrpl18"
"BAP1"	"Bap1"
"BORCS7"	"Borcs7"
"ZNF121"	"Zfp560"
"NECAP2"	"Necap2"
"BORCS7-ASMT"	"Borcs7"
"PRDX5"	"Prdx5"
"TRIM7"	"Trim7"
"CSF3R"	"Csf3r"
"MAP3K11"	"Map3k11"
"TPGS2"	"Tpgs2"
"TRMT2A"	"Trmt2a"
"LYL1"	"Lyl1"
"CLINT1"	"Clint1"
"PPHLN1"	"Pphln1"
"PINK1"	"Pink1"
"IFIT3"	"Ifit3"
"LIPA"	"Lipa"
"IGF2R"	"Igf2r"
"GMCL2"	"Gmcl1"
"DLGAP5"	"Dlgap5"
"TGFBR2"	"Tgfbr2"
"MYL9"	"Myl9"
"DLGAP4"	"Dlgap4"
"TMEM203"	"Tmem203"
"ZNF512"	"Zfp512"
"IFIT1B"	"Ifit1"
"IFIT1B"	"Ifit1bl2"
"PPRC1"	"Pprc1"
"HES6"	"Hes6"
"PHRF1"	"Phrf1"
"SNRPF"	"Snrpf"
"DDB1"	"Ddb1"
"RAB31"	"Rab31"
"YARS2"	"Yars2"
"TRIM35"	"Trim35"
"MPG"	"Mpg"
"EMP3"	"Emp3"
"UBA3"	"Uba3"
"WASL"	"Wasl"
"PHKG2"	"Phkg2"
"PEAK1"	"Peak1"
"FGL2"	"Fgl2"
"PALLD"	"Palld"
"PSAP"	"Psap"
"GOLGA5"	"Golga5"
"PSMB7"	"Psmb7"
"ZNHIT3"	"Znhit3"
"CLU"	"Clu"
"NANS"	"Nans"
"B4GALT5"	"B4galt5"
"RAB21"	"Rab21"
"COX10"	"Cox10"
"RBM15B"	"Rbm15b"
"AMZ2"	"Amz2"
"LYN"	"Lyn"
"ATF7-NPFF"	"Atf7"
"CXCL10"	"Cxcl10"
"ATF7"	"Atf7"
"OCEL1"	"Ocel1"
"VCP"	"Vcp"
"HNRNPH3"	"Hnrnph3"
"PEX16"	"Pex16"
"CAPN7"	"Capn7"
"GAR1"	"Gar1"
"G3BP1"	"G3bp1"
"HTT"	"Htt"
"CLCF1"	"Clcf1"
"AIG1"	"Aig1"
"RAD9A"	"Rad9a"
"SNN"	"Snn"
"MEAF6"	"Meaf6"
"RPL18"	"Rpl18"
"RARG"	"Rarg"
"MCEMP1"	"Mcemp1"
"CAV1"	"Cav1"
"TRAPPC5"	"Trappc5"
"YWHAQ"	"Ywhaq"
"ZBTB8OS"	"Zbtb8os"
"INTS7"	"Ints7"
"STEAP4"	"Steap4"
"IGKV4-1"	"Igkv6-15"
"SDCCAG8"	"Sdccag8"
"DCAF5"	"Dcaf5"
"PIGQ"	"Pigq"
"DTL"	"Dtl"
"EIF1B"	"Eif1b"
"TWNK"	"Twnk"
"CDC25A"	"Cdc25a"
"UBAP2"	"Ubap2"
"DENND5A"	"Dennd5a"
"CDCA4"	"Cdca4"
"HBA2"	"Hba-a2"
"CTDSP2"	"Ctdsp2"
"UQCRFS1"	"Uqcrfs1"
"MMADHC"	"Mmadhc"
"MIB1"	"Mib1"
"AC010463.1"	"Babam1"
