IngenuityCanonicalPathways,GroupCount,key,AllMolecules,pathsize,M_activated_ratio,M_inhibited_ratio,M_noZ_ratio,M_notSig_ratio,J_activated_ratio,J_inhibited_ratio,J_noZ_ratio,J_notSig_ratio,M_GlobalActivated,M_GlobalInhibited,M_GlobalNoDirection,M_GlobalNotSignificant,J_GlobalActivated,J_GlobalInhibited,J_GlobalNoDirection,J_GlobalNotSignificant,activeTissue,inactiveTissue
"B Cell Activating Factor Signaling",7,X50,"CHUK,IKBKB,MAP2K4,MAP3K14,MAPK13,MAPK14,MAPK8,NFATC1,NFATC3,NFKB1,NFKB2,NFKBIE,RELA,TNFRSF13B,TNFRSF13C,TRAF1,TRAF2,TRAF3,TRAF5,TRAF6",20,0.0833333333333333,0.0833333333333333,0.0416666666666667,0.291666666666667,0.166666666666667,0,0,0.333333333333333,0,0,0.5,0,0.5,0,0,0,activated,no_direction
"B Cell Development",2,X51,"CD19,CD86,HLA-A,HLA-DMB,HLA-DOA,HLA-DOB,IL7R,SPN",8,0,0,0,0.5,0,0,0.166666666666667,0.333333333333333,0,0,0,0.5,0,0,0.5,0,no_direction,not_sig
"B Cell Receptor Signaling",12,X52,"ABL1,AKT1,AKT2,APBB1IP,ATF2,BAD,BCL10,BCL2A1,BCL2L1,BCL6,BLNK,BTK,CAMK2D,CAMK2G,CD19,CD22,CD79A,CD79B,CFL2,CHUK,CREB1,CREB3,CREBBP,CSK,DAPP1,FCGR2A,FOXO1,GRB2,GSK3A,HRAS,IGHG1,IGHM,IKBKB,INPP5D,INPP5F,INPP5K,KRAS,LYN,MALT1,MAP2K1,MAP2K2,MAP2K4,MAP3K11,MAP3K12,MAP3K14,MAP3K2,MAP3K3,MAP3K5,MAP3K8,MAPK13,MAPK14,MAPK3,MAPK8,MTOR,Map3k7,NFATC1,NFATC3,NFKB1,NFKB2,NFKBIB,NFKBID,NFKBIE,NRAS,PAG1,PAX5,PDPK1,PIK3C2A,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PLCG2,POU2F2,PPP3CB,PPP3R1,PRKCB,PTK2B,PTPN11,RAC1,RAC2,RAF1,RALA,RAP2A,RAP2B,RASD1,RASSF5,RELA,RPS6KB1,RRAS,RRAS2,SHC1,SOS1,SOS2,SYNJ1,VAV1,VAV3",98,0.0833333333333333,0.166666666666667,0,0.25,0.416666666666667,0.0833333333333333,0,0,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"BAG2 Signaling Pathway",2,X53,"ANXA2,ATXN3,CASP3,HSPA14,HSPA1A/HSPA1B,HSPA8,HSPA9,MAPK14,MAPK3,MAPKAPK2,MYC,PINK1,PSME1,PSME2,PSME3,RELA,SP1,STUB1,TP53",19,0.0416666666666667,0.0416666666666667,0,0.416666666666667,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,not_sig,no_direction
"BER pathway",8,X54,"APEX1,FEN1,LIG1,LIG3,PARP1,PNKP,POLG,XRCC1",8,0,0,0.166666666666667,0.333333333333333,0,0,0.333333333333333,0.166666666666667,0,0,0.5,0,0,0,0.5,0,no_direction,no_direction
"BEX2 Signaling Pathway",7,X55,"AKT1,AKT2,BAD,BAK1,BBC3,BCL2,CCND1,HIF1A,LDB1,LEF1,LMO2,MAP2K4,MAPK8,MMP2,MTOR,NFKB1,PLXNC1,PPP2CB,PPP2R1A,PPP2R3A,PPP2R5D,PPP2R5E,PTPA,RELA,SMARCB1,SPP1,TCF4,TCF7L2,TSC1,Tcf7",30,0.0833333333333333,0.125,0,0.291666666666667,0.0833333333333333,0.0833333333333333,0,0.333333333333333,0,0.5,0,0,0,0,0.5,0,no_direction,inhibited
"BMP signaling pathway",5,X56,"ATF2,BMP1,BMPR1A,BMPR2,CREB1,CREBBP,FST,GRB2,HRAS,KRAS,MAGED1,MAP2K1,MAP2K2,MAP2K4,MAPK13,MAPK14,MAPK3,MAPK8,NFKB1,NFKB2,NRAS,PRKACB,PRKAG1,PRKAR2A,RAF1,RAP2A,RAP2B,RASD1,RELA,RRAS,SMAD1,SMAD4,SMAD5,SMAD7,SOS1",35,0,0.0833333333333333,0.0416666666666667,0.375,0.166666666666667,0,0,0.333333333333333,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"Bladder Cancer Signaling",10,X57,"ABL1,CCND1,CDK4,E2F1,EGFR,HRAS,KRAS,MAP2K1,MAP2K2,MAPK3,MDM2,MMP12,MMP13,MMP14,MMP19,MMP2,MMP3,MMP8,MMP9,MYC,NRAS,RAF1,RAP2A,RAP2B,RASD1,RB1,RPS6KA5,RRAS,RRAS2,SIN3A,SUV39H1,TFDP1,THBS1,TP53",34,0.166666666666667,0,0.0416666666666667,0.291666666666667,0.25,0,0.166666666666667,0.0833333333333333,0.5,0,0,0,0.5,0,0,0,activated,activated
"CCR3 Signaling in Eosinophils",3,X58,"CFL2,GNAI3,GNG10,GNG11,GNG12,GNG2,GNG5,HRAS,ITPR1,ITPR2,ITPR3,KRAS,LIMK2,MAP2K1,MAP2K2,MAPK13,MAPK14,MAPK3,NRAS,PAK1,PAK2,PIK3C2A,PIK3C3,PIK3CB,PIK3R1,PIK3R5,PLA2G12A,PLCB4,PRKCA,PRKCD,PRKCE,PRKCH,PRKD3,RAF1,RALA,RAP2A,RAP2B,RASD1,ROCK1,ROCK2,RRAS",41,0,0.0833333333333333,0,0.416666666666667,0.0833333333333333,0,0,0.416666666666667,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"CD27 Signaling in Lymphocytes",7,X59,"APAF1,BCL2L1,BID,CASP3,CASP8,CD27,CHUK,CYCS,IKBKB,MAP2K1,MAP2K2,MAP2K4,MAP3K11,MAP3K12,MAP3K14,MAP3K2,MAP3K3,MAP3K5,MAP3K8,MAPK8,Map3k7,NFKB1,NFKB2,NFKBIB,NFKBID,NFKBIE,RELA,SIVA1,TRAF2,TRAF5",30,0.0416666666666667,0.125,0,0.333333333333333,0.166666666666667,0,0.0833333333333333,0.25,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"CD28 Signaling in T Helper Cells",8,X60,"AKT1,AKT2,ARPC1A,BCL10,CD28,CD3D,CD3E,CD3G,CD86,CHP1,CHUK,CSK,CTLA4,FCER1G,FYN,GRB2,HLA-A,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DRB5,IKBKB,ITK,ITPR1,ITPR2,ITPR3,LAT,LCK,LCP2,MALT1,MAP2K1,MAP2K2,MAP2K4,MAPK8,NFATC1,NFATC3,NFKB1,NFKB2,NFKBIB,NFKBID,NFKBIE,PAK1,PDPK1,PIK3C2A,PIK3C3,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PPP3CB,PPP3R1,PTPN11,RAC1,RELA,VAV1,WAS",56,0.0416666666666667,0.125,0,0.333333333333333,0.333333333333333,0,0,0.166666666666667,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"CD40 Signaling",6,X61,"CHUK,FCER2,IKBKB,MAP2K1,MAP2K2,MAP2K4,MAP3K14,MAPK13,MAPK14,MAPK3,MAPK8,MAPKAPK2,NFKB1,NFKB2,NFKBIB,NFKBIE,PIK3C2A,PIK3C3,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PTGS2,RELA,TANK,TNFAIP3,TRAF1,TRAF2,TRAF3,TRAF5,TRAF6",31,0.0416666666666667,0.0416666666666667,0.0833333333333333,0.333333333333333,0.166666666666667,0,0,0.333333333333333,0,0,0.5,0,0.5,0,0,0,activated,no_direction
"CDK5 Signaling",11,X62,"ABL1,ADCY7,CAPN1,CDK5,CDK5R1,HRAS,ITGB1,KRAS,LAMB1,LAMC1,MAP2K1,MAP2K2,MAPK13,MAPK14,MAPK3,MAPK7,MAPK8,NRAS,PPP1R11,PPP1R14B,PPP1R7,PPP2CB,PPP2R1A,PPP2R3A,PPP2R5D,PPP2R5E,PRKACB,PRKAG1,PRKAR2A,PTPA,Ppp1cc,RAF1,RAP2A,RAP2B,RASD1,RRAS,RRAS2",37,0.208333333333333,0.0416666666666667,0,0.25,0.333333333333333,0,0.0833333333333333,0.0833333333333333,0.5,0,0,0,0.5,0,0,0,activated,activated
"CDP-diacylglycerol Biosynthesis I",7,X63,"ABHD5,AGPAT1,AGPAT2,AGPAT3,AGPAT4,AGPAT5,CDS2,CRLS1,GPAT3,GPAT4,LPCAT1,MBOAT7",12,0.0416666666666667,0.166666666666667,0.0416666666666667,0.25,0.0833333333333333,0,0,0.416666666666667,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"CMP-N-acetylneuraminate Biosynthesis I (Eukaryotes)",1,X64,"CMAS,NAGK,NANS",3,0,0,0.0416666666666667,0.458333333333333,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,not_sig,no_direction
"CNTF Signaling",6,X65,"AKT1,GRB2,HRAS,IL6ST,JAK2,KRAS,MAP2K1,MAP2K2,MAPK3,MTOR,NRAS,PIK3C3,PIK3CB,PIK3CD,PIK3R5,PTPN11,RAF1,RAP2A,RAP2B,RASD1,RPS6KA3,RPS6KA5,RPS6KB1,RRAS,RRAS2,SOS1,STAT1",27,0.0416666666666667,0.0833333333333333,0.0416666666666667,0.333333333333333,0.166666666666667,0,0,0.333333333333333,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"CTLA4 Signaling in Cytotoxic T Lymphocytes",12,X66,"AKT1,AKT2,AP1B1,AP1G1,AP1M1,AP1S1,AP1S2,AP2A2,AP2M1,AP2S1,B2M,CD28,CD3D,CD3E,CD3G,CD86,CLTA,CLTB,CLTC,CTLA4,FCER1G,FYN,GRB2,HLA-A,HLA-F,JAK2,LAT,LCK,LCP2,PIK3C2A,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PPP2CB,PPP2R1A,PPP2R3A,PPP2R5D,PPP2R5E,PTPA,PTPN11,PTPN22",44,0,0,0.333333333333333,0.166666666666667,0,0,0.333333333333333,0.166666666666667,0,0,0.5,0,0,0,0.5,0,no_direction,no_direction
"CXCR4 Signaling",6,X67,"ADCY7,AKT1,AKT2,CRK,CXCL12,CXCR4,Cdc42,ELMO1,FNBP1,GNA11,GNA13,GNA15,GNAI3,GNAQ,GNB1,GNG10,GNG11,GNG12,GNG2,GNG5,HRAS,ITPR1,ITPR2,ITPR3,KRAS,LYN,MAP2K1,MAP2K2,MAPK3,MAPK8,MYL4,MYL6,MYL9,MYLPF,NRAS,PAK1,PAK2,PIK3C2A,PIK3C3,PIK3CB,PIK3R1,PIK3R5,PLCB4,PRKCA,PRKCB,PRKCD,PRKCE,PRKCH,PRKCI,PRKD3,PXN,RAC1,RAC2,RAF1,RALA,RAP2A,RAP2B,RASD1,RHOB,RHOC,RHOF,RHOG,RHOH,RHOQ,RHOT1,RHOV,RND1,RND3,ROCK1,ROCK2,RRAS,RRAS2",72,0,0.0833333333333333,0.0833333333333333,0.333333333333333,0.166666666666667,0,0,0.333333333333333,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"Calcium-induced T Lymphocyte Apoptosis",9,X68,"ATP2A2,ATP2A3,CABIN1,CAPN2,CD3D,CD3E,CD3G,CHP1,EP300,FCER1G,HDAC1,HDAC2,HLA-A,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DRB5,ITPR1,ITPR2,ITPR3,LCK,MEF2D,PPP3CB,PPP3R1,PRKCA,PRKCB,PRKCD,PRKCE,PRKCH,PRKD3",30,0.125,0.125,0,0.25,0.25,0,0,0.25,0,0,0.5,0,0.5,0,0,0,activated,no_direction
"Cancer Drug Resistance By Drug Efflux",3,X69,"ABCG2,AKT1,AKT2,BRAF,FOXO1,FOXO3,FOXO4,HRAS,KRAS,MAP2K1,MAP2K2,MAPK3,MDM2,NFKB1,NRAS,PIK3CB,PIK3CD,PTGS2,RAF1,RAP2A,RAP2B,RASD1,RRAS,RRAS2,TP53",25,0,0,0.0833333333333333,0.416666666666667,0,0,0.0833333333333333,0.416666666666667,0,0,0.5,0,0,0,0.5,0,no_direction,no_direction
"Cardiac Hypertrophy Signaling",11,X70,"ADCY7,ADRB2,ADSS2,AKT1,ATF2,CHP1,CREB1,CREBBP,Cdc42,EIF2B1,EIF2B2,EIF2B3,EIF2B4,EIF2B5,EIF4E,EP300,FNBP1,GNA11,GNA13,GNA15,GNAI3,GNAQ,GNB1,GNG10,GNG11,GNG12,GNG2,GNG5,GRB2,HRAS,HSPB1,IGF1,IGF1R,IL6,IL6R,KRAS,MAP2K1,MAP2K2,MAP2K4,MAP3K11,MAP3K12,MAP3K14,MAP3K2,MAP3K3,MAP3K5,MAP3K8,MAPK13,MAPK14,MAPK3,MAPK8,MAPKAPK2,MAPKAPK3,MEF2D,MTOR,MYL4,MYL6,MYL9,MYLPF,Map3k7,NRAS,PDIA3,PIK3C2A,PIK3C3,PIK3CA,PIK3CB,PIK3R1,PIK3R5,PLCB4,PLCL2,PPP3CB,PPP3R1,PRKACB,PRKAG1,PRKAR2A,RAC1,RAC2,RAF1,RALA,RAP2A,RAP2B,RASD1,RHOB,RHOC,RHOF,RHOG,RHOH,RHOQ,RHOT1,RHOV,RND1,RND3,ROCK1,ROCK2,RPS6KA1,RPS6KB1,RRAS,RRAS2,SOS1,SRF,TGFB1,TGFBR1,TGFBR2",102,0.0833333333333333,0.166666666666667,0,0.25,0.416666666666667,0,0,0.0833333333333333,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"Cardiac Hypertrophy Signaling (Enhanced)",5,X71,"ACE,ADCY7,ADRB2,AKAP13,AKT1,AKT2,APEX1,ATF2,ATF6,ATP2A2,ATP2A3,BMPR2,CAMK2G,CHP1,CHUK,CLCF1,CSF2RB,CXCR2,CYBB,DIAPH1,DIAPH3,DLG1,DVL1,Diaph2,EIF2B1,EIF2B2,EIF2B3,EIF2B4,EIF2B5,EIF4E,EIF4EBP1,EP300,FGFR1,GDE1,GNA11,GNA13,GNA15,GNAI3,GNAQ,GNB1,GNG11,GNG2,GNG5,GSK3A,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC7,HRAS,HSPB1,IGF1,IGF1R,IKBKB,IL10RA,IL11RA,IL13RA1,IL18RAP,IL1B,IL1R1,IL1R2,IL21R,IL2RB,IL2RG,IL36G,IL4R,IL6,IL6R,IL6ST,IL7R,ITGA4,ITGA5,ITGAL,ITGAV,ITGB1,ITGB2,ITPR1,ITPR2,ITPR3,JAK2,KRAS,LTB,MAP2K1,MAP2K2,MAP3K11,MAP3K12,MAP3K14,MAP3K2,MAP3K20,MAP3K3,MAP3K8,MAPK13,MAPK14,MAPK3,MAPK7,MAPK8,MAPKAPK2,MAPKAPK3,MEF2D,MPPE1,MTOR,MYC,Map3k7,NFATC1,NFATC3,NFKB1,NFKB2,NRAS,OSM,PDE12,PDE4B,PDE6D,PDE6H,PDE7A,PDE8A,PDIA3,PIK3C2A,PIK3C3,PIK3CB,PIK3R1,PIK3R5,PLCB4,PLCL2,PPP3CB,PPP3R1,PRKACB,PRKAG1,PRKAR2A,PRKCA,PRKCB,PRKCD,PRKCE,PRKCH,PRKD3,PTGS2,RAF1,RALA,RAP2A,RAP2B,RASD1,RCAN1,RELA,ROCK1,ROCK2,RPS6KA5,RPS6KB1,RRAS,SMPDL3A,SRF,TDP2,TGFB1,TGFBR2,TGFBR3,TNF,TNFRSF1A,TNFRSF1B",157,0.0833333333333333,0.0833333333333333,0,0.333333333333333,0.0833333333333333,0,0,0.416666666666667,0,0,0.5,0,0.5,0,0,0,activated,no_direction
"Cardiac β-adrenergic Signaling",2,X72,"ADCY7,AKAP10,AKAP11,AKAP12,AKAP13,AKAP8,ATP2A2,ATP2A3,GNB1,GNG10,GNG11,GNG12,GNG2,MPPE1,PDE12,PDE6D,PDE6H,PDE7A,PDE8A,PPP1R7,PPP2CB,PPP2R1A,PPP2R3A,PPP2R5D,PPP2R5E,PRKACB,PRKAG1,PRKAR2A,Ppp1cc,SMPDL3A,TDP2",31,0.0416666666666667,0,0,0.458333333333333,0.0833333333333333,0,0,0.416666666666667,0.5,0,0,0,0.5,0,0,0,activated,activated
"Cardiolipin Biosynthesis II",1,X73,"PGS1,PTPMT1",2,0,0,0.0416666666666667,0.458333333333333,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,not_sig,no_direction
"Caveolar-mediated Endocytosis Signaling",4,X74,"ABL1,ACTA1,ACTA2,ARCN1,B2M,CAV1,CD48,CD55,COPA,COPB1,COPG1,COPZ1,EGFR,FLNB,FLOT1,FLOT2,FYN,HLA-A,HLA-F,ITGA4,ITGA5,ITGAL,ITGB1,ITGB2,ITSN1,MAP3K2,PRKCA,RAB5A,RAB5B,RAB5C",30,0,0,0.0416666666666667,0.458333333333333,0,0,0.25,0.25,0,0,0.5,0,0,0,0.5,0,no_direction,no_direction
"Cdc42 Signaling",4,X75,"APC,ARHGEF6,ARPC1A,ATF2,B2M,BAIAP2,CD3D,CD3E,CD3G,CDC42BPA,CFL2,DIAPH1,DIAPH3,EXOC3,EXOC4,EXOC5,EXOC6,FGD3,H2-T10,H2-T22,H2-T24,HLA-A,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DRB5,HLA-F,HLA-G,IQGAP2,ITGA5,ITGAL,ITGAV,ITGB1,ITGB2,ITK,LIMK2,MAP3K11,MAPK13,MAPK14,MAPK8,MYL4,MYL6,MYL9,MYLPF,PAK1,PAK2,PARD6A,RAF1,RALA,RASA1,VAV1",51,0,0.0416666666666667,0,0.458333333333333,0.25,0,0,0.25,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"Cell Cycle Control of Chromosomal Replication",15,X76,"CDC7,CDK1,CDK13,CDK17,CDK19,CDK2,CDK4,CDK5,CDK6,CDK7,CDK9,CDT1,DBF4,LIG1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,ORC2,ORC3,ORC4,ORC6,POLA1,POLD1,PRIM1,RPA1,RPA2,RPA3,TOP2A,TOP2B",32,0.25,0.0833333333333333,0.0416666666666667,0.125,0.416666666666667,0.0833333333333333,0,0,0.5,0,0,0,0.5,0,0,0,activated,activated
"Cell Cycle Regulation by BTG Family Proteins",10,X77,"CCND1,CCNE1,CCNE2,CDK2,CDK4,CNOT7,E2F1,E2F4,E2F5,NOCT,PPP2CB,PPP2R1A,PPP2R3A,PPP2R5D,PPP2R5E,PTPA,RB1",17,0.0833333333333333,0.0416666666666667,0.208333333333333,0.166666666666667,0.0833333333333333,0,0.0833333333333333,0.333333333333333,0,0,0.5,0,0.5,0,0,0,activated,no_direction
"Cell Cycle: G1/S Checkpoint Regulation",11,X78,"ABL1,ATM,ATR,CCND1,CCND3,CCNE1,CCNE2,CDC25A,CDK2,CDK4,CDK6,CDKN2C,CUL1,E2F1,E2F4,E2F5,FBXL5,FOXO1,GNL3,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC7,MAX,MDM2,MYC,PA2G4,PAK1IP1,RB1,RBL2,RPL5,SIN3A,SMAD4,SUV39H1,TFDP1,TGFB1,TP53",39,0,0.375,0,0.125,0,0.166666666666667,0,0.333333333333333,0,0.5,0,0,0,0.5,0,0,inhibited,inhibited
"Cell Cycle: G2/M DNA Damage Checkpoint Regulation",3,X79,"ABL1,ATM,ATR,CCNB2,CDK1,CKS1B,CKS2,CUL1,EP300,GADD45A,KAT2B,MDM4,PPM1D,PTPMT1,RPS6KA1,SFN,TOP2A,TOP2B,TP53,TRIP12,YWHAE,YWHAQ",22,0.0416666666666667,0.0416666666666667,0.0416666666666667,0.375,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,not_sig,no_direction
"Ceramide Degradation",1,X80,"ACER3,ASAH1",2,0,0,0.0416666666666667,0.458333333333333,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,not_sig,no_direction
"Ceramide Signaling",10,X81,"AKT1,AKT2,BAD,BCL2,CERK,CTSD,CYCS,DIABLO,HRAS,KRAS,MAP2K1,MAP2K4,MAPK3,MAPK8,NFKB1,NFKB2,NRAS,NSMAF,PIK3C2A,PIK3C3,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PPP2CB,PPP2R1A,PPP2R3A,PPP2R5D,PPP2R5E,PTPA,RAF1,RALA,RAP2A,RAP2B,RASD1,RELA,RRAS,RRAS2,S1PR1,S1PR4,SPHK1,TNF,TNFRSF1A,TNFRSF1B",44,0,0.25,0,0.25,0.25,0,0.0833333333333333,0.166666666666667,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"Chemokine Signaling",2,X82,"CAMK1,CAMK2D,CAMK2G,CCL4,CCL5,CXCL12,GNAI3,GNAQ,HRAS,KRAS,LIMK2,MAPK13,MAPK14,MAPK3,MAPK8,NRAS,PRKCA,PRKCB,PTK2B,RAF1,RAP2A,RRAS,RRAS2",23,0.0833333333333333,0,0,0.416666666666667,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,not_sig,activated
"Cholecystokinin/Gastrin-mediated Signaling",13,X83,"ATF2,CREM,Cdc42,EGFR,FNBP1,GNA13,GNAQ,GRB2,HRAS,IL1B,IL1RN,IL36G,ITPR1,ITPR2,ITPR3,KRAS,MAP2K1,MAP2K2,MAP2K4,MAPK14,MAPK3,MAPK7,MAPK8,MEF2D,NRAS,PLCB4,PRKCA,PRKCB,PRKCD,PRKCE,PRKCH,PRKCI,PRKD3,PTGS2,PTK2B,PXN,RAC1,RAC2,RAF1,RALA,RAP2A,RAP2B,RASD1,RHOB,RHOC,RHOF,RHOG,RHOH,RHOQ,RHOT1,RHOV,RND1,RND3,ROCK1,ROCK2,RRAS,RRAS2,SHC1,SOS1,SOS2,SRF,TNF",62,0.0416666666666667,0.25,0,0.208333333333333,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"Chronic Myeloid Leukemia Signaling",13,X84,"ABL1,AKT1,AKT2,BAD,BCL2L1,CCND1,CDK4,CDK6,CHUK,CRK,CTBP1,CTBP2,E2F1,E2F4,E2F5,GRB2,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC7,HRAS,IKBKB,KRAS,MAP2K1,MAP2K2,MAPK3,MDM2,MYC,NFKB1,NFKB2,NRAS,PA2G4,PIK3C2A,PIK3C3,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PTPN11,RAF1,RALA,RAP2A,RAP2B,RASD1,RB1,RBL2,RELA,RRAS,RRAS2,SIN3A,SMAD4,SOS1,SOS2,STAT5A,STAT5B,SUV39H1,TFDP1,TGFB1,TGFBR1,TGFBR2,TP53",63,0,0,0.333333333333333,0.166666666666667,0,0,0.416666666666667,0.0833333333333333,0,0,0.5,0,0,0,0.5,0,no_direction,no_direction
"Circadian Rhythm Signaling",2,X85,"ARNTL,ATF2,CLOCK,CREB1,CREBBP,CRY1,CSNK1D,NR1D1,PER1",9,0,0,0.0833333333333333,0.416666666666667,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,not_sig,no_direction
"Clathrin-mediated Endocytosis Signaling",3,X86,"AAK1,ACTA1,ACTA2,AP1B1,AP1G1,AP1M1,AP1S1,AP2A2,AP2S1,AP3B1,AP3M1,AP3S1,APOD,ARPC1A,CBL,CD2AP,CHP1,CLTA,CLTC,CLU,CSNK2B,DAB2,DNM1L,DNM2,EPN1,EPS15,F2R,GAK,GRB2,HGS,HIP1,HIP1R,HSPA8,ITGA5,ITGB1,ITGB2,LDLRAP1,LYZ,MDM2,MET,MYO1E,MYO6,NUMB,PCYOX1,PDGFA,PIK3C2A,PIK3C3,PIK3CA,PIK3CB,PIK3R1,PIK3R5,PIP5K1C,PPP3CB,PPP3R1,RAB5A,RAB5B,RAB5C,RAB7A,RBP4,S100A8,SH3GLB2,SNX9,STAM,SYNJ1,UBC",65,0,0,0.0416666666666667,0.458333333333333,0,0,0.166666666666667,0.333333333333333,0,0,0.5,0,0,0,0.5,0,no_direction,no_direction
"Cleavage and Polyadenylation of Pre-mRNA",8,X87,"CPSF1,CPSF2,CPSF3,CPSF4,CPSF6,CSTF2,CSTF3,NUDT21,PABPN1,PAPOLA,WDR33",11,0,0,0.125,0.375,0,0,0.416666666666667,0.0833333333333333,0,0,0.5,0,0,0,0.5,0,no_direction,no_direction
"Coagulation System",1,X88,"F2R,PLAT,PLAU,PROS1,SERPINE1",5,0,0.0416666666666667,0,0.458333333333333,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,not_sig,inhibited
"Colanic Acid Building Blocks Biosynthesis",2,X89,"GALE,GPI,PMM1,PMM2,UGDH,UGP2",6,0.0416666666666667,0.0416666666666667,0,0.416666666666667,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,not_sig,no_direction
"Colorectal Cancer Metastasis Signaling",10,X90,"ADCY7,AKT1,AKT2,APC,APPL1,AXIN1,BAD,BCL2L1,BIRC5,BRAF,CASP3,CCND1,Cdc42,DVL1,E2F4,EGFR,FNBP1,FZD5,GNB1,GNG10,GNG11,GNG12,GNG2,GNG5,GRB2,HRAS,IFNGR1,IL6,IL6R,IL6ST,JAK2,KRAS,LEF1,LRP1,LRP6,MAP2K1,MAP2K2,MAP2K4,MAPK3,MAPK8,MMP12,MMP13,MMP14,MMP19,MMP2,MMP3,MMP8,MMP9,MSH2,MSH3,MSH6,MYC,NFKB1,NFKB2,NRAS,PIK3C2A,PIK3C3,PIK3CB,PIK3CD,PIK3R1,PIK3R5,PRKACB,PRKAG1,PRKAR2A,PTGER4,PTGS2,RAC1,RAC2,RALA,RALGDS,RAP2A,RAP2B,RASD1,RELA,RHOB,RHOC,RHOF,RHOG,RHOH,RHOQ,RHOT1,RHOV,RND1,RND3,RRAS,RRAS2,SMAD2,SMAD4,SOS1,SOS2,STAT1,TCF3,TCF4,TCF7L2,TGFB1,TGFBR1,TGFBR2,TLR2,TNF,TNFRSF1A,TP53,Tcf7",102,0.0833333333333333,0.166666666666667,0,0.25,0.333333333333333,0,0,0.166666666666667,0,0.5,0,0,0.5,0,0,0,activated,inhibited
"Communication between Innate and Adaptive Immune Cells",1,X91,"B2M,CCL3L3,CD28,CD86,CXCL10,Ccl9,HLA-A,HLA-F,IL1B,IL36G,TLR2",11,0,0,0,0.5,0,0,0.0833333333333333,0.416666666666667,0,0,0,0.5,0,0,0.5,0,no_direction,not_sig
"Complement System",11,X92,"C1QB,C1QBP,C1QC,C1R,C1S,C3,C4A/C4B,C5AR1,C7,CD55,CFH,CR2,ITGB2,SERPING1",14,0.333333333333333,0.0416666666666667,0,0.125,0.0833333333333333,0,0.0833333333333333,0.333333333333333,0.5,0,0,0,0.5,0,0,0,activated,activated
"Coronavirus Pathogenesis Pathway",12,X93,"ABL1,ACE,BCL2,BCL2L11,CASP1,CASP3,CASP8,CCL5,CCND1,CDK2,CDK4,CHUK,DDIT3,DDX58,E2F1,E2F4,E2F5,EIF2A,EIF2AK3,EIF4E,EP300,IFNAR1,IFNAR2,IKBKB,IL1B,IL6,IRF3,IRF7,IRF9,KPNB1,MAP2K4,MAPK13,MAPK14,MAPK3,MAPK8,NFKB1,NFKB2,NFKBIB,NFKBID,NFKBIE,NLRP3,PA2G4,PTGS2,PYCARD,RB1,RBL2,RELA,RPS12,RPS28,RPS29,RPS6,SERPINE1,SIN3A,SMAD4,STAT1,STAT2,SUV39H1,TBK1,TFDP1,TGFB1,TGFBR1,TGFBR2,TNPO1,TNPO2,TP53,TRAF3,TRIM25",67,0.125,0.125,0,0.25,0.333333333333333,0.166666666666667,0,0,0,0,0.5,0,0.5,0,0,0,activated,no_direction
"Coronavirus Replication Pathway",2,X94,"ACE,COPA,COPZ1,DDX1,GSK3A,IFITM2,IFITM3,Ifitm1,PI4KB,TUBB2A,TUBB4B,TUBB6",12,0.0416666666666667,0.0416666666666667,0,0.416666666666667,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,not_sig,no_direction
